geo,date,Y,Y_counterfactual,scenario,true_effect_pct,treated_unit,treatment_period
City 1,1,1129.195893668421,1129.195893668421,A1,0.075,0,0
City 1,2,1361.9125519757115,1361.9125519757115,A1,0.075,0,0
City 1,3,1350.630561544662,1350.630561544662,A1,0.075,0,0
City 1,4,1389.7721232411634,1389.7721232411634,A1,0.075,0,0
City 1,5,2017.7587269868188,2017.7587269868188,A1,0.075,0,0
City 1,6,1871.3267559734813,1871.3267559734813,A1,0.075,0,0
City 1,7,1588.8059475870732,1588.8059475870732,A1,0.075,0,0
City 1,8,1337.2329214648303,1337.2329214648303,A1,0.075,0,0
City 1,9,1416.4688033259506,1416.4688033259506,A1,0.075,0,0
City 1,10,1409.2927852918642,1409.2927852918642,A1,0.075,0,0
City 1,11,1552.746127439086,1552.746127439086,A1,0.075,0,0
City 1,12,1544.5224674753463,1544.5224674753463,A1,0.075,0,0
City 1,13,1494.9578603045225,1494.9578603045225,A1,0.075,0,0
City 1,14,1716.187847026305,1716.187847026305,A1,0.075,0,0
City 1,15,1286.5416586900776,1286.5416586900776,A1,0.075,0,0
City 1,16,1518.9314794821153,1518.9314794821153,A1,0.075,0,0
City 1,17,1547.0933779203629,1547.0933779203629,A1,0.075,0,0
City 1,18,1404.0704758480238,1404.0704758480238,A1,0.075,0,0
City 1,19,2134.488665073038,2134.488665073038,A1,0.075,0,0
City 1,20,2022.9558104807725,2022.9558104807725,A1,0.075,0,0
City 1,21,1931.1988924393986,1931.1988924393986,A1,0.075,0,0
City 1,22,1507.2471690358316,1507.2471690358316,A1,0.075,0,0
City 1,23,1440.3198127569353,1440.3198127569353,A1,0.075,0,0
City 1,24,1733.4188461904184,1733.4188461904184,A1,0.075,0,0
City 1,25,1461.6060556642947,1461.6060556642947,A1,0.075,0,0
City 1,26,1667.9636657923395,1667.9636657923395,A1,0.075,0,0
City 1,27,1465.1697409092276,1465.1697409092276,A1,0.075,0,0
City 1,28,1202.9038849471515,1202.9038849471515,A1,0.075,0,0
City 1,29,1265.3052982860481,1265.3052982860481,A1,0.075,0,0
City 1,30,1193.9750837132324,1193.9750837132324,A1,0.075,0,0
City 1,31,1579.1982549928118,1579.1982549928118,A1,0.075,0,0
City 1,32,1547.792515600446,1547.792515600446,A1,0.075,0,0
City 1,33,1659.4603748465277,1659.4603748465277,A1,0.075,0,0
City 1,34,1770.8457412290418,1770.8457412290418,A1,0.075,0,0
City 1,35,1486.1314254058666,1486.1314254058666,A1,0.075,0,0
City 1,36,1549.2019370061007,1549.2019370061007,A1,0.075,0,0
City 1,37,1473.6609302271725,1473.6609302271725,A1,0.075,0,0
City 1,38,1715.3097513237185,1715.3097513237185,A1,0.075,0,0
City 1,39,1786.741555630367,1786.741555630367,A1,0.075,0,0
City 1,40,1591.7679596767696,1591.7679596767696,A1,0.075,0,0
City 1,41,1920.564674979931,1920.564674979931,A1,0.075,0,0
City 1,42,1775.960989772997,1775.960989772997,A1,0.075,0,0
City 1,43,1590.9618968789455,1590.9618968789455,A1,0.075,0,0
City 1,44,1505.1589172910215,1505.1589172910215,A1,0.075,0,0
City 1,45,1917.6264557377933,1917.6264557377933,A1,0.075,0,0
City 1,46,1603.2429507895413,1603.2429507895413,A1,0.075,0,0
City 1,47,1820.7846784917915,1820.7846784917915,A1,0.075,0,0
City 1,48,1644.7004860641905,1644.7004860641905,A1,0.075,0,0
City 1,49,1474.28189374521,1474.28189374521,A1,0.075,0,0
City 1,50,1540.9821945500767,1540.9821945500767,A1,0.075,0,0
City 1,51,1754.2889580582505,1754.2889580582505,A1,0.075,0,0
City 1,52,1660.0298750824788,1660.0298750824788,A1,0.075,0,0
City 1,53,1674.7758961766806,1674.7758961766806,A1,0.075,0,0
City 1,54,1463.4844677154374,1463.4844677154374,A1,0.075,0,0
City 1,55,1440.750950638563,1440.750950638563,A1,0.075,0,0
City 1,56,1418.994800970695,1418.994800970695,A1,0.075,0,0
City 1,57,1418.067461857889,1418.067461857889,A1,0.075,0,0
City 1,58,1687.907482252708,1687.907482252708,A1,0.075,0,0
City 1,59,2204.2761632982288,2204.2761632982288,A1,0.075,0,0
City 1,60,2025.136087925158,2025.136087925158,A1,0.075,0,0
City 1,61,1397.7321362038022,1397.7321362038022,A1,0.075,0,0
City 1,62,2089.002877554904,2089.002877554904,A1,0.075,0,0
City 1,63,1887.1272729068696,1887.1272729068696,A1,0.075,0,0
City 1,64,1466.6063085515896,1466.6063085515896,A1,0.075,0,0
City 1,65,1596.4919803422074,1596.4919803422074,A1,0.075,0,0
City 1,66,1437.465337188919,1437.465337188919,A1,0.075,0,0
City 1,67,2222.562530113932,2222.562530113932,A1,0.075,0,0
City 1,68,1598.7549648216132,1598.7549648216132,A1,0.075,0,0
City 1,69,2325.2465848696575,2325.2465848696575,A1,0.075,0,0
City 1,70,2050.957784758177,2050.957784758177,A1,0.075,0,0
City 1,71,1682.5339019723995,1682.5339019723995,A1,0.075,0,0
City 1,72,1350.5796601629136,1350.5796601629136,A1,0.075,0,0
City 1,73,1349.0172603242008,1349.0172603242008,A1,0.075,0,0
City 1,74,1254.6369685687225,1254.6369685687225,A1,0.075,0,0
City 1,75,1686.4188695181058,1686.4188695181058,A1,0.075,0,0
City 1,76,1865.6502781056142,1865.6502781056142,A1,0.075,0,0
City 1,77,1820.6165831486535,1820.6165831486535,A1,0.075,0,0
City 1,78,1590.8138924081209,1590.8138924081209,A1,0.075,0,0
City 1,79,1420.3479559632544,1420.3479559632544,A1,0.075,0,0
City 1,80,1598.0429172887898,1598.0429172887898,A1,0.075,0,0
City 1,81,1785.3817161508339,1785.3817161508339,A1,0.075,0,0
City 1,82,2053.168859358909,2053.168859358909,A1,0.075,0,0
City 1,83,2117.1282547015235,2117.1282547015235,A1,0.075,0,0
City 1,84,1925.1539404043024,1925.1539404043024,A1,0.075,0,0
City 1,85,1606.1353404525905,1606.1353404525905,A1,0.075,0,0
City 1,86,1482.5523277554269,1482.5523277554269,A1,0.075,0,0
City 1,87,1473.2389232171415,1473.2389232171415,A1,0.075,0,0
City 1,88,1700.074815533276,1700.074815533276,A1,0.075,0,0
City 1,89,1928.5323041794547,1928.5323041794547,A1,0.075,0,0
